Names,< 6 months,6 months - 4 years,5-12 years,13-17 years,18-49 years,50-64 years,> 65 years,White,Black,Hispanic,Other Races
Alabama,43.9,70.2,64.8,50.0,29.1,40.8,61.1,43.4,42.6,61.1,45.8
Alaska,37.9,56.7,49.4,39.7,28.8,39.0,51.5,38.1,51.6,35.5,37.2
Arizona,41.5,58.0,57.2,40.1,29.0,39.0,59.4,41.7,46.2,39.0,46.9
Arkansas,45.4,74.3,70.1,54.5,28.5,43.9,59.1,45.1,45.9,55.5,39.6
California,43.7,70.0,63.5,47.4,32.5,38.3,61.1,47.8,40.7,41.1,43.0
Colorado,49.1,74.0,65.0,48.7,36.6,49.8,66.9,48.9,52.6,50.2,48.5
Connecticut,52.6,89.3,70.9,54.6,36.5,52.0,66.7,52.5,53.9,52.5,52.6
Delaware,50.5,87.3,69.9,52.7,33.4,48.8,68.2,52.7,44.3,51.9,51.7
District of Columbia,47.6,76.9,67.8,63.3,40.2,42.5,56.2,52.1,42.3,54.0,49.2
Florida,39.5,58.4,51.6,32.9,25.0,38.1,60.6,43.5,34.9,33.1,40.8
Georgia,41.2,61.9,50.7,43.2,30.0,39.3,62.6,43.0,38.8,41.0,39.5
Hawaii,50.2,81.1,71.5,61.3,36.9,43.4,64.1,45.7,51.8,55.9,51.2
Idaho,39.2,53.8,47.5,35.0,28.9,40.6,54.9,39.6,49.7,34.8,43.9
Illinois,42.9,65.9,56.6,43.2,32.5,39.6,59.3,42.5,39.7,49.6,38.0
Indiana,43.2,59.9,54.8,40.3,30.6,44.4,62.1,43.5,41.6,43.8,47.3
Iowa,51.8,71.0,60.6,46.8,38.5,52.3,73.5,52.5,42.9,51.7,50.0
Kansas,44.4,70.2,58.7,39.5,31.9,43.2,62.4,45.2,47.1,41.8,40.9
Kentucky,44.2,59.7,50.9,45.3,31.9,43.4,66.0,44.6,40.6,49.2,36.6
Louisiana,44.0,64.6,59.5,47.4,32.5,41.2,58.4,42.6,45.2,44.6,53.9
Maine,49.0,66.5,60.8,55.7,32.9,50.0,67.2,49.4,54.7,40.7,39.3
Maryland,51.7,82.5,72.7,64.1,37.5,50.0,64.3,55.1,46.9,52.4,47.0
Massachusetts,50.4,84.6,78.9,62.6,37.0,46.4,59.5,50.9,56.2,49.8,48.7
Michigan,42.2,68.1,59.1,39.5,28.3,42.0,59.5,42.8,37.4,46.0,41.2
Minnesota,49.7,73.2,63.4,48.2,38.3,47.9,65.9,49.7,48.2,51.3,50.1
Mississippi,42.1,62.5,55.7,40.6,27.9,41.1,66.3,44.7,38.0,48.6,39.2
Missouri,47.4,68.0,67.4,39.4,32.4,45.7,69.8,47.1,54.4,43.4,46.3
Montana,43.8,67.2,50.2,37.7,32.4,43.8,60.5,43.4,NR *,34.7,52.8
Nebraska,49.1,77.5,63.5,50.1,35.5,49.8,64.6,48.5,54.1,51.6,56.6
Nevada,36.8,58.4,52.5,34.7,25.4,29.9,59.6,39.5,30.5,34.3,37.0
New Hampshire,50.9,73.2,70.8,57.1,37.0,48.0,69.4,50.3,59.9,61.2,58.0
New Jersey,45.4,82.4,73.0,54.2,29.9,37.9,63.6,45.1,42.6,46.9,52.9
New Mexico,47.4,73.8,72.4,59.4,32.4,44.6,58.1,47.2,45.4,47.1,51.2
New York,49.1,76.0,67.5,53.3,35.2,48.0,66.0,49.1,46.2,49.6,54.3
North Carolina,50.9,71.5,62.7,48.1,39.4,49.0,68.6,52.6,50.5,43.0,45.5
North Dakota,48.8,78.0,64.1,51.8,37.6,46.7,64.0,49.0,58.7,34.2,52.2
Ohio,43.8,70.4,53.9,45.6,30.5,43.2,61.2,44.2,44.1,41.2,42.5
Oklahoma,45.8,62.1,59.9,34.9,30.4,50.5,68.7,45.5,42.2,43.8,48.8
Oregon,42.0,65.9,58.4,40.1,31.5,38.8,55.8,42.2,36.7,41.1,47.1
Pennsylvania,48.2,73.1,62.0,48.7,34.4,46.4,67.0,47.9,48.4,49.8,50.4
Rhode Island,56.1,81.2,82.0,69.4,45.4,49.6,64.9,58.5,45.6,52.4,52.6
South Carolina,46.9,67.1,64.4,45.0,31.1,47.1,68.7,48.1,43.5,53.9,41.6
South Dakota,56.6,80.8,69.3,64.0,43.8,49.2,76.8,56.5,67.9,61.9,56.3
Tennessee,46.3,73.9,63.7,50.3,34.0,41.8,61.1,47.4,38.5,50.6,48.5
Texas,47.9,71.8,63.0,50.2,36.0,44.9,65.1,49.7,41.0,45.9,60.5
Utah,43.5,64.4,54.7,42.6,32.5,46.6,62.0,44.3,47.1,41.2,40.6
Vermont,49.2,76.0,56.5,51.7,37.8,46.6,66.8,48.9,58.7,61.6,50.0
Virginia,49.5,74.7,65.3,48.2,37.5,47.3,69.5,51.3,45.3,45.9,47.0
Washington,47.9,76.1,59.8,49.5,33.6,48.1,68.6,48.7,41.1,47.7,46.1
West Virginia,49.6,60.1,60.0,47.9,33.0,53.7,71.6,49.4,49.5,59.6,49.1
Wisconsin,42.7,72.7,63.6,42.7,31.0,42.2,49.9,42.4,46.2,45.4,42.5
Wyoming,38.1,53.9,44.4,26.8,26.6,39.9,61.9,39.2,NR  ,29.6,37.3
United States,45.6,70.0,61.8,46.8,32.7,43.6,63.4,46.6,42.8,43.9,47.1
Region  1,51.3,82.8,73.9,59.6,37.2,48.8,63.8,51.5,54.2,51.3,49.8
Region  2,48.0,78.2,69.4,53.6,33.5,44.8,65.2,47.8,45.0,48.9,53.4
Region  3,49.4,74.9,65.6,51.6,35.9,47.7,67.3,50.1,46.7,49.9,48.6
Region  4,43.7,64.5,56.6,42.6,30.5,41.8,63.5,46.1,40.4,37.8,42.2
