Names,< 6 months,6 months - 4 years,5-12 years,13-17 years,18-49 years,50-64 years,> 65 years,White,Black,Hispanic,Other Races
Alabama,45.8,63.6,61.2,46.2,31.3,47.6,65.3,47.2,41.5,55.9,42.9
Alaska,44.0,65.2,59.3,33.6,37.5,40.2,57.5,43.5,54.2,40.2,44.7
Arizona,41.6,66.2,52.9,40.6,27.5,41.9,62.4,42.7,30.5,40.4,43.4
Arkansas,50.5,67.1,71.9,57.3,37.0,43.4,69.6,50.5,43.0,68.4,54.3
California,44.2,72.0,63.4,44.1,29.7,44.9,64.7,46.6,39.8,40.7,48.7
Colorado,49.0,72.4,59.3,48.4,37.3,47.0,73.0,49.7,47.2,47.7,48.9
Connecticut,52.8,82.8,70.5,50.8,41.3,47.2,70.1,52.8,52.0,56.1,47.8
Delaware,53.3,81.1,68.5,50.1,43.1,45.6,70.4,54.2,52.4,52.1,54.0
District of Columbia,46.7,77.5,69.7,60.2,38.7,42.2,59.1,52.1,42.5,44.3,45.4
Florida,39.2,58.4,48.8,36.1,24.7,36.0,62.0,43.7,34.3,32.9,32.7
Georgia,44.1,71.2,61.6,43.1,30.9,43.0,62.8,44.2,42.3,49.6,43.8
Hawaii,52.0,73.0,81.3,61.7,33.7,50.5,69.2,48.0,40.5,54.5,53.4
Idaho,42.2,66.4,52.2,31.2,30.7,40.2,61.9,41.8,NR *,47.5,39.2
Illinois,41.9,67.7,53.3,41.1,30.0,42.5,60.1,42.9,37.6,40.5,44.3
Indiana,44.7,63.8,53.4,41.9,30.9,47.4,64.3,45.4,37.4,43.2,49.1
Iowa,53.8,72.3,56.5,45.3,40.9,55.6,76.5,53.6,46.4,58.4,53.6
Kansas,48.0,73.0,57.9,39.7,36.2,47.5,68.1,48.7,46.2,46.8,43.2
Kentucky,48.3,60.1,51.1,43.7,35.2,51.6,73.9,48.5,44.5,51.9,42.1
Louisiana,44.7,70.8,57.5,51.3,31.7,46.5,59.6,44.9,42.9,54.3,43.8
Maine,49.5,67.9,67.3,54.1,33.0,48.6,69.3,49.3,56.7,53.5,50.5
Maryland,52.1,76.0,68.7,47.8,40.6,51.6,66.6,56.0,45.5,44.6,56.9
Massachusetts,54.9,81.0,77.5,70.9,41.0,53.0,67.3,55.3,56.3,57.8,50.3
Michigan,44.3,65.2,52.1,42.4,30.5,44.5,65.7,46.0,37.7,43.7,42.2
Minnesota,51.9,68.7,65.9,48.6,40.9,50.5,69.9,51.6,52.5,51.2,56.2
Mississippi,44.9,61.0,50.5,42.6,32.7,45.3,67.8,49.1,37.9,58.7,43.6
Missouri,49.1,63.1,58.2,41.9,35.7,51.2,72.5,49.7,45.5,46.6,51.6
Montana,44.4,56.9,47.8,34.4,31.6,46.8,67.5,43.4,NR *,52.1,49.4
Nebraska,54.0,78.4,64.1,50.5,41.7,54.3,72.6,53.3,60.7,57.4,57.4
Nevada,39.7,66.4,50.4,42.4,26.6,40.7,58.9,41.5,35.6,38.9,40.4
New Hampshire,52.1,74.2,70.8,50.6,40.3,50.2,67.8,51.6,68.6,66.0,53.9
New Jersey,46.8,79.1,70.3,43.0,31.2,45.1,64.7,48.5,40.6,46.5,48.0
New Mexico,49.6,75.6,69.1,52.3,35.3,46.3,66.0,49.9,55.8,49.9,49.2
New York,48.6,75.0,70.1,54.7,33.0,48.9,66.5,50.7,43.5,47.5,49.5
North Carolina,52.4,71.6,63.5,47.1,39.6,51.0,76.8,53.1,55.4,44.3,48.3
North Dakota,51.0,75.4,62.0,48.7,39.9,50.7,66.4,50.5,38.2,61.6,54.9
Ohio,46.1,66.0,58.4,39.8,33.8,47.1,62.6,46.5,45.9,45.9,42.7
