Names,< 6 months,6 months - 4 years,5-12 years,13-17 years,18-49 years,50-64 years,> 65 years,White,Black,Hispanic,Other Races
Alabama,42.4,61.7,56.0,42.9,27.0,41.0,65.4,42.7,39.5,51.4,42.9
Alaska,40.2,60.4,45.3,43.0,35.3,33.7,51.9,39.9,47.2,33.9,42.7
Arizona,38.9,67.8,51.8,37.3,26.6,34.9,56.2,39.5,37.7,36.1,46.0
Arkansas,41.7,62.9,66.2,59.9,24.8,38.5,54.7,41.5,38.8,56.0,39.8
California,40.0,67.8,58.3,48.7,25.3,39.3,58.1,44.4,35.0,35.2,43.2
Colorado,45.2,76.6,61.2,51.9,32.6,42.0,61.8,45.0,40.7,46.1,47.7
Connecticut,46.3,83.4,74.9,55.9,27.0,43.6,63.1,47.1,42.9,46.0,44.2
Delaware,47.6,74.8,67.5,53.8,30.5,47.0,64.9,48.0,43.6,51.8,52.5
District of Columbia,NR,77.4,68.9,61.8,NR,NR,NR,NR,NR,NR,NR
Florida,35.6,58.8,46.8,32.9,16.9,34.1,61.6,40.9,31.4,27.8,31.9
Georgia,38.7,63.6,51.0,40.8,24.4,39.2,60.3,40.6,34.6,38.3,44.0
Hawaii,43.2,65.4,63.6,52.9,30.1,38.4,57.2,43.1,51.7,40.3,43.8
Idaho,37.0,67.2,44.8,37.7,25.4,33.4,53.4,36.9,NR  ,39.3,35.4
Illinois,39.9,70.0,55.4,43.9,25.0,36.4,62.4,41.4,35.5,37.1,44.4
Indiana,37.0,62.4,55.0,37.2,23.5,35.3,52.5,36.4,38.8,38.3,40.8
Iowa,47.1,68.6,59.7,48.2,33.4,45.1,65.2,47.3,42.5,44.9,49.2
Kansas,41.1,60.9,57.3,40.0,27.4,39.8,60.0,40.7,35.2,49.5,38.6
Kentucky,44.1,68.3,52.2,49.5,28.0,46.7,66.9,44.4,39.4,53.7,38.2
Louisiana,35.3,63.5,54.5,50.4,20.3,36.5,45.1,35.6,34.8,43.5,34.5
Maine,41.2,74.0,62.0,46.4,28.7,35.7,53.5,41.0,56.8,39.2,37.1
Maryland,49.3,75.5,69.1,57.1,35.5,46.2,63.8,52.4,43.9,50.3,49.8
Massachusetts,49.7,75.5,74.1,72.4,36.8,45.8,57.5,49.3,45.7,52.6,53.0
Michigan,39.5,59.0,57.9,43.5,24.8,38.4,56.3,41.0,30.6,45.2,36.4
Minnesota,48.4,74.6,65.3,49.9,34.2,46.9,66.0,48.5,47.4,46.2,49.3
Mississippi,44.3,59.2,51.0,44.8,34.4,38.0,61.1,47.5,38.6,48.2,31.8
Missouri,42.4,58.7,52.3,42.3,30.0,37.6,65.8,42.6,47.1,40.4,36.4
Montana,42.1,63.2,52.2,38.3,27.2,42.3,62.8,41.1,54.4,51.9,49.2
Nebraska,47.0,72.5,65.6,49.7,33.3,43.7,62.1,46.6,50.8,48.2,47.6
Nevada,39.1,53.3,50.7,45.0,25.1,34.9,65.7,43.1,36.8,33.5,40.8
New Hampshire,43.7,68.1,69.2,60.5,28.1,41.7,56.6,43.5,44.6,43.9,46.9
New Jersey,48.1,83.8,70.3,55.0,30.1,43.7,66.6,50.4,48.0,42.6,43.9
New Mexico,43.7,67.8,65.3,50.5,27.6,42.7,57.0,45.6,53.3,41.7,43.4
New York,40.4,70.7,69.7,51.8,24.7,37.4,53.0,40.6,35.2,44.4,40.2
North Carolina,46.0,70.1,61.3,46.1,29.5,45.5,71.3,48.7,39.5,45.5,40.8
North Dakota,44.9,73.5,63.7,51.8,31.8,40.5,61.4,45.5,48.1,36.5,43.8
Ohio,42.8,67.4,59.4,42.9,27.6,41.1,60.8,42.6,46.0,42.5,41.3
Oklahoma,44.9,67.1,55.5,43.2,28.0,46.5,72.6,47.0,38.9,40.7,42.3
Oregon,40.5,60.6,53.8,49.6,25.6,40.7,58.2,42.3,47.0,34.7,34.4
Pennsylvania,46.0,75.2,66.4,54.0,34.0,41.9,56.9,44.9,44.3,50.9,57.2
